( ( ( ( ( ( ( [MAX 4 ) ( ( ( ( [MEDIAN ( ( ( [MEDIAN 4 ) 9 ) ] ) ) ( ( ( ( [MIN ( ( ( [SUM 6 ) 0 ) ] ) ) 6 ) 6 ) ] ) ) 8 ) ] ) ) 2 ) 4 ) 0 ) 8 ) ] )	"MED, sorted list, [4, 9], MEDIAN is 6
SUM, add [6, 0], sum is 6, answer is 6
Min, smallest number of [6, 6, 6] is 6
MED, sorted list, [6, 6, 8], MEDIAN is 6
Max, largest number of [4, 6, 2, 4, 0, 8] is 8
Final answer: 8"
( ( ( ( ( ( ( ( [SUM ( ( ( ( [MEDIAN 5 ) ( ( ( ( [MEDIAN 6 ) 8 ) ( ( ( ( ( [SUM 2 ) 3 ) 0 ) ( ( ( ( ( ( ( ( [MIN 9 ) ( ( ( ( [MEDIAN 8 ) 6 ) 5 ) ] ) ) ( ( ( ( [MEDIAN 4 ) 4 ) 8 ) ] ) ) 3 ) 2 ) 8 ) 1 ) ] ) ) ] ) ) ] ) ) 7 ) ] ) ) 3 ) 1 ) 0 ) 1 ) 4 ) 8 ) ] )	"MED, sorted list, [5, 6, 8], MEDIAN is 6
MED, sorted list, [4, 4, 8], MEDIAN is 4
Min, smallest number of [9, 6, 4, 3, 2, 8, 1] is 1
SUM, add [2, 3, 0, 1], sum is 6, answer is 6
MED, sorted list, [6, 6, 8], MEDIAN is 6
MED, sorted list, [5, 6, 7], MEDIAN is 6
SUM, add [6, 3, 1, 0, 1, 4, 8], sum is 23, answer is 3
Final answer: 3"
( ( ( ( ( ( ( ( ( [SUM 9 ) 4 ) 2 ) 2 ) 2 ) 9 ) 4 ) ( ( ( ( ( ( ( ( ( ( ( [MAX 4 ) 7 ) 7 ) 2 ) 6 ) 2 ) 7 ) 3 ) ( ( ( ( ( ( ( [MIN 6 ) 0 ) 8 ) 7 ) 5 ) 9 ) ] ) ) 2 ) ] ) ) ] )	"Min, smallest number of [6, 0, 8, 7, 5, 9] is 0
Max, largest number of [4, 7, 7, 2, 6, 2, 7, 3, 0, 2] is 7
SUM, add [9, 4, 2, 2, 2, 9, 4, 7], sum is 39, answer is 9
Final answer: 9"
( ( ( ( [MAX ( ( ( ( ( ( [MAX ( ( ( ( ( [MEDIAN 1 ) 6 ) 9 ) 5 ) ] ) ) ( ( ( ( ( ( ( ( ( [MAX 0 ) 2 ) 5 ) 6 ) ( ( ( ( ( ( [MEDIAN 6 ) 0 ) 9 ) 1 ) 3 ) ] ) ) 9 ) ( ( ( ( ( [MIN 6 ) ( ( ( ( [MIN ( ( ( [MAX 7 ) 6 ) ] ) ) 7 ) 3 ) ] ) ) 7 ) 4 ) ] ) ) 6 ) ] ) ) 2 ) 9 ) 1 ) ] ) ) 7 ) 1 ) ] )	"MED, sorted list, [1, 5, 6, 9], MEDIAN is 5
MED, sorted list, [0, 1, 3, 6, 9], MEDIAN is 3
Max, largest number of [7, 6] is 7
Min, smallest number of [7, 7, 3] is 3
Min, smallest number of [6, 3, 7, 4] is 3
Max, largest number of [0, 2, 5, 6, 3, 9, 3, 6] is 9
Max, largest number of [5, 9, 2, 9, 1] is 9
Max, largest number of [9, 7, 1] is 9
Final answer: 9"
( ( ( ( ( ( ( ( ( ( [SUM 1 ) 8 ) 0 ) 9 ) 5 ) 8 ) ( ( ( ( ( ( ( [SUM 4 ) ( ( ( ( ( ( ( [MIN 0 ) 1 ) ( ( ( ( ( ( ( ( [MAX 5 ) 9 ) 1 ) 3 ) 7 ) 9 ) 4 ) ] ) ) 7 ) 0 ) 4 ) ] ) ) 4 ) 7 ) 1 ) 6 ) ] ) ) 3 ) 7 ) ] )	"Max, largest number of [5, 9, 1, 3, 7, 9, 4] is 9
Min, smallest number of [0, 1, 9, 7, 0, 4] is 0
SUM, add [4, 0, 4, 7, 1, 6], sum is 22, answer is 2
SUM, add [1, 8, 0, 9, 5, 8, 2, 3, 7], sum is 43, answer is 3
Final answer: 3"
( ( ( ( ( ( [MEDIAN ( ( ( ( ( ( ( ( ( ( [MEDIAN 4 ) 5 ) ( ( ( ( ( ( [MEDIAN 0 ) 7 ) 6 ) 2 ) ( ( ( ( [SUM 5 ) 6 ) 4 ) ] ) ) ] ) ) 9 ) 0 ) 4 ) ( ( ( ( [MAX 4 ) 4 ) 9 ) ] ) ) 3 ) ( ( ( [SUM 7 ) 5 ) ] ) ) ] ) ) ( ( ( ( [MEDIAN 6 ) 6 ) 4 ) ] ) ) 0 ) 1 ) 1 ) ] )	"SUM, add [5, 6, 4], sum is 15, answer is 5
MED, sorted list, [0, 2, 5, 6, 7], MEDIAN is 5
Max, largest number of [4, 4, 9] is 9
SUM, add [7, 5], sum is 12, answer is 2
MED, sorted list, [0, 2, 3, 4, 4, 5, 5, 9, 9], MEDIAN is 4
MED, sorted list, [4, 6, 6], MEDIAN is 6
MED, sorted list, [0, 1, 1, 4, 6], MEDIAN is 1
Final answer: 1"
( ( ( ( ( ( ( ( ( [MIN 1 ) ( ( ( [MAX 9 ) 9 ) ] ) ) ( ( ( ( ( ( ( ( [SUM 0 ) 1 ) 9 ) 9 ) 4 ) 5 ) 5 ) ] ) ) 3 ) 9 ) 7 ) ( ( ( ( ( ( ( ( ( ( [MIN 5 ) 8 ) 0 ) 7 ) ( ( ( [SUM 9 ) 5 ) ] ) ) 3 ) 3 ) 7 ) 7 ) ] ) ) 6 ) ] )	"Max, largest number of [9, 9] is 9
SUM, add [0, 1, 9, 9, 4, 5, 5], sum is 33, answer is 3
SUM, add [9, 5], sum is 14, answer is 4
Min, smallest number of [5, 8, 0, 7, 4, 3, 3, 7, 7] is 0
Min, smallest number of [1, 9, 3, 3, 9, 7, 0, 6] is 0
Final answer: 0"
( ( ( [MEDIAN ( ( ( ( ( ( ( ( ( ( ( [MAX 7 ) 9 ) 5 ) 4 ) ( ( ( ( ( ( ( [MEDIAN 3 ) ( ( ( ( ( ( ( ( ( ( ( [MIN 5 ) 5 ) ( ( ( ( ( [MIN 1 ) 0 ) 4 ) 9 ) ] ) ) 3 ) 6 ) 3 ) 3 ) 1 ) 9 ) 6 ) ] ) ) 2 ) 1 ) 5 ) 6 ) ] ) ) 7 ) ( ( ( ( [MAX 0 ) 9 ) 0 ) ] ) ) 0 ) 0 ) 6 ) ] ) ) 4 ) ] )	"Min, smallest number of [1, 0, 4, 9] is 0
Min, smallest number of [5, 5, 0, 3, 6, 3, 3, 1, 9, 6] is 0
MED, sorted list, [0, 1, 2, 3, 5, 6], MEDIAN is 2
Max, largest number of [0, 9, 0] is 9
Max, largest number of [7, 9, 5, 4, 2, 7, 9, 0, 0, 6] is 9
MED, sorted list, [4, 9], MEDIAN is 6
Final answer: 6"
( ( ( [SUM 4 ) ( ( ( ( ( ( ( ( [MAX 0 ) 9 ) 0 ) 3 ) ( ( ( ( [MIN 7 ) 1 ) 5 ) ] ) ) ( ( ( ( ( ( ( [MEDIAN 5 ) 2 ) 4 ) 0 ) 7 ) 8 ) ] ) ) ( ( ( ( ( [MEDIAN 5 ) 6 ) 1 ) 3 ) ] ) ) ] ) ) ] )	"Min, smallest number of [7, 1, 5] is 1
MED, sorted list, [0, 2, 4, 5, 7, 8], MEDIAN is 4
MED, sorted list, [1, 3, 5, 6], MEDIAN is 4
Max, largest number of [0, 9, 0, 3, 1, 4, 4] is 9
SUM, add [4, 9], sum is 13, answer is 3
Final answer: 3"
( ( ( ( ( ( ( ( [MEDIAN ( ( ( ( ( ( ( ( ( [MAX ( ( ( ( ( ( ( ( [MEDIAN 5 ) 8 ) 8 ) 4 ) 5 ) 8 ) 6 ) ] ) ) 1 ) 3 ) 8 ) 9 ) 7 ) 3 ) ( ( ( [MIN 7 ) 5 ) ] ) ) ] ) ) 3 ) ( ( ( ( ( ( ( ( ( ( [MIN 1 ) 8 ) 6 ) 0 ) 9 ) 6 ) 0 ) 9 ) 4 ) ] ) ) 0 ) ( ( ( ( [MEDIAN 1 ) 9 ) 4 ) ] ) ) 5 ) 0 ) ] )	"MED, sorted list, [4, 5, 5, 6, 8, 8, 8], MEDIAN is 6
Min, smallest number of [7, 5] is 5
Max, largest number of [6, 1, 3, 8, 9, 7, 3, 5] is 9
Min, smallest number of [1, 8, 6, 0, 9, 6, 0, 9, 4] is 0
MED, sorted list, [1, 4, 9], MEDIAN is 4
MED, sorted list, [0, 0, 0, 3, 4, 5, 9], MEDIAN is 3
Final answer: 3"
( ( ( ( ( ( ( ( ( ( [SUM ( ( ( ( [MAX 0 ) 7 ) 3 ) ] ) ) 8 ) 8 ) 1 ) ( ( ( ( ( ( ( ( [MAX 0 ) 7 ) ( ( ( ( [MIN 8 ) ( ( ( ( [MAX ( ( ( [SUM 6 ) 3 ) ] ) ) 4 ) 5 ) ] ) ) 1 ) ] ) ) 7 ) ( ( ( ( ( ( ( ( [MEDIAN 2 ) 4 ) 9 ) 1 ) 4 ) 5 ) ( ( ( ( ( ( [SUM 8 ) 5 ) 8 ) 8 ) 7 ) ] ) ) ] ) ) 3 ) 4 ) ] ) ) 8 ) 8 ) 5 ) 7 ) ] )	"Max, largest number of [0, 7, 3] is 7
SUM, add [6, 3], sum is 9, answer is 9
Max, largest number of [9, 4, 5] is 9
Min, smallest number of [8, 9, 1] is 1
SUM, add [8, 5, 8, 8, 7], sum is 36, answer is 6
MED, sorted list, [1, 2, 4, 4, 5, 6, 9], MEDIAN is 4
Max, largest number of [0, 7, 1, 7, 4, 3, 4] is 7
SUM, add [7, 8, 8, 1, 7, 8, 8, 5, 7], sum is 59, answer is 9
Final answer: 9"
